EmployeeID,New Role,DateChanged,ReasonForLeaving
5000,Quit,2024-10-07,Poor Management
5001,Quit,2025-02-01,Better Offer
5002,Quit,2022-06-25,Lack of Growth
5003,Quit,2025-11-05,Poor Management
5005,Quit,2025-03-21,Lack of Growth
5006,Quit,2023-06-11,Insufficient Wages
5007,Quit,2025-05-26,Better Offer
5008,Quit,2022-03-24,Lack of Growth
5009,Quit,2022-07-20,Lack of Growth
5010,Quit,2022-05-17,Burntout
5011,Quit,2025-12-27,Better Offer
5013,Dismissed,2023-10-17,Performance
5014,Quit,2023-07-30,Better Offer
5015,Quit,2023-04-03,Poor Management
5016,Quit,2021-06-05,Better Offer
5017,Dismissed,2021-12-04,Attendance
5018,Dismissed,2025-07-19,Attendance
5019,Quit,2023-02-27,Poor Management
5020,Quit,2025-03-30,Poor Management
5021,Quit,2022-12-21,Lack of Growth
5022,Quit,2025-09-12,Better Offer
5023,Quit,2021-12-06,Better Offer
5024,Dismissed,2022-09-30,Attendance
5026,Quit,2024-06-04,Lack of Growth
5027,Bartender,2023-09-11,NA
5027,Quit,2025-02-20,Better Offer
5028,Quit,2023-10-31,Poor Management
5029,Dismissed,2021-07-06,Performance
5030,Quit,2023-02-18,Lack of Growth
5031,Quit,2022-08-21,Burntout
5032,Dismissed,2024-01-03,Performance
5033,Quit,2025-09-19,Lack of Growth
5034,Quit,2022-07-21,Lack of Growth
5035,Bartender,2021-10-20,NA
5035,Quit,2022-09-09,Burntout
5036,Quit,2023-10-03,Burntout
5037,Quit,2022-10-18,Burntout
5038,Quit,2022-09-29,Insufficient Wages
5039,Dismissed,2025-07-23,Performance
5040,Quit,2021-10-10,Lack of Growth
5041,Quit,2024-12-15,Burntout
5042,Quit,2021-08-05,Poor Management
5043,Bartender,2023-05-18,NA
5043,Quit,2024-04-27,Poor Management
5046,Server,2025-04-05,NA
5046,Quit,2025-11-04,Relocation
5047,Quit,2024-12-11,Burntout
5048,Quit,2021-05-05,Insufficient Wages
5049,Quit,2024-08-10,Insufficient Wages
5050,Quit,2023-09-06,Burntout
5051,Manager,2024-10-18,NA
5052,Quit,2021-08-21,Burntout
5053,Quit,2023-09-17,Burntout
5054,Quit,2022-11-12,Better Offer
5055,Dismissed,2025-10-07,Performance
5056,Quit,2022-12-21,Poor Management
5057,Quit,2024-02-29,Lack of Growth
5058,Dismissed,2023-01-27,Attendance
5059,Bartender,2024-01-16,NA
5059,Quit,2024-10-17,Relocation
5060,Quit,2021-07-15,Lack of Growth
5062,Quit,2024-07-30,Burntout
5063,Dismissed,2025-05-21,Policy Violation
5064,Quit,2021-07-04,Insufficient Wages
5065,Quit,2023-10-31,Better Offer
5066,Quit,2024-04-09,Poor Management
5067,Quit,2022-02-27,Better Offer
5068,Quit,2021-12-27,Better Offer
5069,Quit,2022-12-13,Insufficient Wages
5070,Quit,2025-06-07,Poor Management
5071,Server Assistant,2022-08-08,NA
5071,Bartender,2023-02-22,NA
5071,Quit,2023-10-20,Better Offer
5072,Server,2022-07-30,NA
5072,Dismissed,2023-05-08,Policy Violation
5073,Quit,2025-04-29,Relocation
5074,Quit,2023-03-14,Better Offer
5076,Quit,2024-09-22,Better Offer
5077,Quit,2022-06-18,Better Offer
5078,Quit,2023-08-28,Better Offer
5079,Quit,2022-02-15,Insufficient Wages
5080,Quit,2022-07-17,Better Offer
5081,Quit,2022-03-31,Burntout
5082,Bartender,2024-08-15,NA
5082,Quit,2025-12-29,Relocation
5083,Quit,2025-05-23,Lack of Growth
5084,Quit,2024-11-26,Poor Management
5085,Quit,2023-04-18,Insufficient Wages
5086,Dismissed,2021-10-31,Attendance
5087,Quit,2023-07-08,Better Offer
5088,Quit,2025-01-14,Burntout
5089,Quit,2021-12-01,Burntout
5090,Bartender,2022-02-09,NA
5090,Shift Lead,2023-03-18,NA
5090,Quit,2023-12-17,Insufficient Wages
5091,Quit,2022-03-22,Lack of Growth
5092,Bartender,2025-04-11,NA
5092,Quit,2025-11-15,Poor Management
5093,Quit,2021-12-19,Poor Management
5094,Bartender,2021-09-15,NA
5094,Quit,2022-10-13,Lack of Growth
5095,Quit,2024-04-27,Better Offer
5096,Quit,2024-04-01,Burntout
5097,Manager,2025-02-08,NA
5098,Quit,2024-08-16,Lack of Growth
5100,Quit,2025-12-19,Lack of Growth
5102,Quit,2023-08-10,Burntout
5103,Quit,2022-09-28,Lack of Growth
5104,Quit,2024-09-08,Lack of Growth
5105,Dismissed,2021-03-25,Performance
5106,Quit,2024-10-27,Lack of Growth
5108,Dismissed,2024-12-22,Performance
5109,Quit,2025-03-03,Lack of Growth
5110,Quit,2024-10-08,Better Offer
5111,Quit,2024-05-17,Burntout
5112,Quit,2023-03-18,Better Offer
5113,Bartender,2023-12-19,NA
5113,Quit,2024-10-02,Burntout
5114,Bartender,2022-02-21,NA
5114,Shift Lead,2023-02-09,NA
5114,Dismissed,2024-01-26,Performance
5115,Quit,2025-02-12,Burntout
5116,Quit,2023-03-05,Burntout
5117,Quit,2022-12-30,Insufficient Wages
5120,Dismissed,2024-09-23,Performance
5121,Quit,2022-08-11,Burntout
5122,Bartender,2022-05-17,NA
5122,Quit,2022-11-14,Lack of Growth
5123,Dismissed,2025-02-11,Attendance
5124,Quit,2022-09-22,Better Offer
5125,Quit,2023-07-24,Burntout
5126,Quit,2022-03-05,Insufficient Wages
5127,Server,2022-07-13,NA
5127,Quit,2023-02-24,Better Offer
5128,Quit,2025-02-04,Insufficient Wages
5129,Dismissed,2021-02-20,Performance
5130,Bartender,2024-06-03,NA
5130,Quit,2025-06-05,Better Offer
5131,Quit,2024-06-07,Burntout
5132,Manager,2024-12-25,NA
5133,Bartender,2022-06-19,NA
5133,Dismissed,2023-06-01,Performance
5134,Quit,2021-07-17,Lack of Growth
5135,Quit,2024-09-17,Better Offer
5136,Quit,2023-01-18,Better Offer
5139,Quit,2025-04-20,Better Offer
5140,Quit,2024-07-11,Lack of Growth
5141,Quit,2023-01-01,Better Offer
5142,Quit,2024-11-12,Burntout
5144,Quit,2025-04-01,Better Offer
5145,Quit,2022-03-07,Relocation
5146,Dismissed,2023-04-28,Attendance
5147,Quit,2022-12-13,Insufficient Wages
5148,Quit,2023-05-18,Better Offer
5149,Dismissed,2023-03-30,Attendance
5150,Bartender,2022-02-13,NA
5150,Quit,2023-01-09,Insufficient Wages
5151,Bartender,2022-05-21,NA
5151,Quit,2022-12-30,Lack of Growth
5152,Quit,2024-08-23,Insufficient Wages
5153,Quit,2022-02-02,Relocation
5154,Quit,2021-09-28,Lack of Growth
5157,Quit,2024-11-10,Insufficient Wages
5158,Quit,2022-11-04,Lack of Growth
5159,Bartender,2022-01-06,NA
5159,Quit,2022-09-10,Better Offer
5161,Dismissed,2025-01-20,Performance
5162,Quit,2025-10-04,Lack of Growth
5163,Server,2023-03-26,NA
5163,Quit,2023-10-12,Poor Management
5164,Quit,2022-02-02,Lack of Growth
5165,Dismissed,2025-04-01,Attendance
5166,Quit,2022-04-24,Better Offer
5167,Quit,2024-03-31,Better Offer
5168,Quit,2021-08-27,Lack of Growth
5169,Quit,2023-04-16,Lack of Growth
5170,Bartender,2021-11-09,NA
5170,Quit,2022-11-29,Better Offer
5171,Manager,2025-05-20,NA
5172,Manager,2025-06-26,NA
5173,Quit,2024-07-06,Better Offer
5175,Quit,2024-07-19,Relocation
5176,Quit,2025-04-27,Relocation
5177,Quit,2023-06-28,Better Offer
5178,Server,2023-04-28,NA
5178,Bartender,2024-03-28,NA
5178,Shift Lead,2024-11-06,NA
5178,Quit,2025-06-18,Better Offer
5179,Quit,2021-10-05,Better Offer
5180,Quit,2023-01-01,Relocation
5181,Quit,2023-01-29,Poor Management
5182,Server,2024-03-21,NA
5182,Quit,2024-11-05,Better Offer
5183,Dismissed,2022-06-21,Performance
5184,Dismissed,2022-01-28,Policy Violation
5185,Quit,2022-05-09,Burntout
5186,Bartender,2021-09-22,NA
5186,Quit,2022-10-28,Burntout
5187,Bartender,2024-06-19,NA
5187,Quit,2025-03-14,Insufficient Wages
5188,Quit,2023-10-24,Insufficient Wages
5189,Bartender,2023-09-01,NA
5189,Quit,2025-01-10,Poor Management
5190,Dismissed,2024-02-09,Performance
5191,Quit,2025-08-15,Insufficient Wages
5192,Quit,2025-08-23,Better Offer
5193,Quit,2023-02-17,Lack of Growth
5194,Dismissed,2025-07-26,Performance
5195,Quit,2023-04-20,Relocation
5196,Dismissed,2024-04-11,Policy Violation
5198,Quit,2022-02-13,Better Offer
5200,Dismissed,2025-11-25,Performance
5201,Dismissed,2025-11-06,Performance
5203,Bartender,2022-07-22,NA
5203,Shift Lead,2023-09-20,NA
5203,Quit,2024-07-29,Lack of Growth
5204,Quit,2024-03-20,Better Offer
5205,Quit,2023-12-17,Lack of Growth
5206,Dismissed,2024-08-16,Performance
5207,Dismissed,2025-08-14,Performance
5208,Quit,2025-08-31,Better Offer
5209,Bartender,2021-11-15,NA
5209,Shift Lead,2022-10-19,NA
5209,Quit,2024-03-23,Lack of Growth
5211,Quit,2025-03-28,Better Offer
5212,Quit,2022-07-25,Lack of Growth
5213,Quit,2024-03-30,Better Offer
5214,Dismissed,2025-04-28,Performance
5215,Bartender,2023-01-20,NA
5215,Quit,2023-12-24,Burntout
5216,Quit,2024-05-09,Better Offer
5217,Quit,2025-12-18,Better Offer
5218,Quit,2023-07-12,Better Offer
5219,Dismissed,2022-08-29,Policy Violation
5220,Quit,2024-08-18,Lack of Growth
5221,Quit,2023-08-19,Poor Management
5222,Dismissed,2023-09-14,Attendance
5223,Quit,2023-03-10,Better Offer
5224,Bartender,2025-02-01,NA
5224,Quit,2025-09-17,Insufficient Wages
5225,Bartender,2024-03-14,NA
5225,Quit,2025-04-03,Better Offer
5227,Quit,2024-10-05,Better Offer
5228,Quit,2023-08-27,Insufficient Wages
5229,Dismissed,2025-12-31,Performance
5230,Dismissed,2024-11-05,Performance
5232,Dismissed,2022-12-28,Performance
5233,Server,2021-10-13,NA
5233,Dismissed,2022-05-19,Performance
5234,Quit,2022-12-20,Better Offer
5235,Quit,2024-06-19,Relocation
5236,Quit,2021-07-26,Lack of Growth
5237,Shift Lead,2024-09-01,NA
5237,Manager,2025-04-26,NA
5238,Quit,2025-08-16,Lack of Growth
5239,Quit,2022-03-13,Better Offer
5240,Quit,2024-03-03,Better Offer
5241,Quit,2023-05-17,Poor Management
5242,Quit,2022-09-24,Lack of Growth
5243,Dismissed,2023-03-31,Policy Violation
5244,Quit,2022-07-15,Burntout
5245,Quit,2022-12-31,Insufficient Wages
5246,Quit,2023-08-01,Lack of Growth
5247,Dismissed,2023-03-23,Performance
5248,Quit,2021-08-07,Poor Management
5249,Manager,2024-12-10,NA
5250,Quit,2022-08-22,Better Offer
5251,Quit,2025-09-19,Better Offer
5252,Quit,2023-05-02,Better Offer
5254,Server,2023-01-06,NA
5254,Quit,2023-09-28,Better Offer
5256,Quit,2025-11-27,Lack of Growth
5257,Bartender,2023-09-16,NA
5257,Dismissed,2024-05-27,Performance
5258,Quit,2024-04-25,Burntout
5259,Dismissed,2022-08-11,Performance
5260,Quit,2023-01-15,Better Offer
5261,Bartender,2023-05-29,NA
5261,Quit,2024-10-30,Better Offer
5262,Quit,2024-03-11,Poor Management
5263,Quit,2023-06-17,Poor Management
5264,Manager,2025-06-06,NA
5265,Quit,2021-12-08,Insufficient Wages
5266,Quit,2025-01-01,Better Offer
5267,Quit,2021-05-26,Burntout
5268,Quit,2023-10-26,Better Offer
5269,Quit,2021-05-27,Poor Management
5270,Bartender,2024-03-25,NA
5270,Quit,2025-09-03,Lack of Growth
5271,Bartender,2022-09-08,NA
5271,Shift Lead,2023-07-08,NA
5271,Quit,2024-12-01,Lack of Growth
5272,Dismissed,2023-12-10,Performance
5273,Quit,2023-01-21,Lack of Growth
5274,Quit,2022-02-09,Lack of Growth
5275,Dismissed,2023-05-28,Policy Violation
5276,Quit,2022-07-23,Better Offer
5277,Quit,2021-10-12,Lack of Growth
5279,Quit,2025-11-30,Insufficient Wages
5280,Bartender,2022-08-09,NA
5280,Quit,2023-11-19,Better Offer
5281,Quit,2024-09-20,Poor Management
5282,Quit,2025-11-13,Better Offer
5284,Quit,2023-05-07,Better Offer
5286,Quit,2022-02-19,Lack of Growth
5287,Quit,2022-09-27,Lack of Growth
5288,Quit,2022-08-27,Lack of Growth
5289,Bartender,2021-06-04,NA
5289,Quit,2022-05-10,Poor Management
5290,Quit,2025-02-28,Better Offer
5291,Quit,2021-08-23,Poor Management
5292,Quit,2023-12-24,Lack of Growth
5293,Quit,2024-03-05,Better Offer
5294,Quit,2023-07-09,Burntout
5295,Bartender,2022-06-22,NA
5295,Quit,2023-02-15,Lack of Growth
5296,Quit,2022-10-27,Better Offer
5297,Dismissed,2021-09-28,Performance
5298,Quit,2022-09-07,Better Offer
5299,Quit,2021-11-06,Better Offer
5300,Quit,2025-10-12,Poor Management
5301,Quit,2022-06-12,Poor Management
5302,Quit,2025-10-28,Burntout
5303,Shift Lead,2024-04-29,NA
5303,Manager,2025-02-23,NA
5306,Quit,2024-01-11,Lack of Growth
5307,Quit,2023-04-16,Poor Management
5308,Bartender,2021-08-31,NA
5308,Quit,2022-10-31,Relocation
5309,Quit,2024-09-08,Insufficient Wages
5310,Quit,2022-04-19,Relocation
5311,Quit,2025-02-01,Poor Management
5312,Quit,2024-03-08,Better Offer
5313,Dismissed,2024-01-20,Policy Violation
5314,Quit,2025-09-22,Insufficient Wages
5315,Quit,2024-02-25,Poor Management
5316,Quit,2025-11-10,Better Offer
5317,Quit,2022-06-30,Better Offer
5318,Quit,2022-02-25,Insufficient Wages
5319,Quit,2024-11-22,Insufficient Wages
5322,Quit,2022-02-15,Lack of Growth
5323,Quit,2024-07-09,Burntout
5324,Quit,2022-06-30,Burntout
5325,Quit,2022-12-21,Better Offer
5326,Manager,2025-05-22,NA
5327,Quit,2024-05-19,Burntout
5328,Quit,2022-12-19,Lack of Growth
5329,Quit,2022-11-20,Insufficient Wages
5330,Quit,2023-07-24,Better Offer
5331,Quit,2021-12-24,Insufficient Wages
5332,Dismissed,2024-08-08,Attendance
5333,Quit,2025-11-19,Better Offer
5334,Quit,2024-11-03,Lack of Growth
5335,Quit,2025-05-29,Burntout
5336,Quit,2022-01-11,Relocation
5337,Quit,2025-09-16,Lack of Growth
5338,Quit,2023-04-09,Insufficient Wages
5339,Quit,2024-08-11,Insufficient Wages
5340,Dismissed,2025-11-23,Performance
5341,Quit,2023-09-28,Poor Management
5342,Quit,2025-10-17,Better Offer
5345,Quit,2024-11-03,Poor Management
5346,Dismissed,2024-09-04,Performance
5347,Quit,2025-06-23,Poor Management
5348,Quit,2022-11-04,Lack of Growth
5349,Quit,2025-12-13,Lack of Growth
5350,Quit,2022-10-04,Burntout
5353,Quit,2021-09-23,Better Offer
5354,Bartender,2022-11-05,NA
5354,Quit,2023-07-08,Insufficient Wages
5355,Quit,2025-10-23,Lack of Growth
5356,Quit,2025-02-17,Better Offer
5357,Quit,2021-09-01,Lack of Growth
5358,Quit,2024-05-15,Relocation
5359,Quit,2021-11-09,Insufficient Wages
5360,Quit,2024-09-18,Burntout
5361,Bartender,2022-10-02,NA
5361,Quit,2023-08-13,Lack of Growth
5362,Bartender,2024-01-09,NA
5362,Manager,2024-11-08,NA
5363,Dismissed,2023-05-26,Performance
5364,Quit,2024-04-09,Poor Management
5365,Quit,2023-04-09,Lack of Growth
5366,Dismissed,2023-07-25,Attendance
5367,Quit,2025-09-16,Better Offer
5368,Bartender,2023-05-24,NA
5368,Quit,2024-02-14,Burntout
5369,Bartender,2021-10-17,NA
5369,Quit,2022-04-18,Better Offer
5370,Dismissed,2025-02-12,Performance
5371,Dismissed,2024-10-14,Policy Violation
5372,Bartender,2024-04-14,NA
5372,Shift Lead,2024-11-06,NA
5372,Manager,2025-05-19,NA
5373,Quit,2022-12-25,Poor Management
5374,Quit,2024-02-21,Poor Management
5375,Quit,2021-09-21,Better Offer
5376,Quit,2022-11-09,Insufficient Wages
5377,Quit,2023-02-22,Insufficient Wages
5378,Quit,2025-10-27,Burntout
5379,Quit,2024-03-24,Lack of Growth
5380,Dismissed,2022-08-28,Performance
5381,Bartender,2025-02-02,NA
5381,Quit,2025-08-21,Insufficient Wages
5382,Quit,2025-10-28,Burntout
5383,Quit,2022-08-12,Relocation
5384,Quit,2025-01-26,Poor Management
5385,Dismissed,2024-07-14,Performance
5386,Dismissed,2024-02-23,Performance
5387,Quit,2024-02-25,Better Offer
5388,Server,2023-02-09,NA
5388,Shift Lead,2023-12-27,NA
5388,Manager,2024-12-24,NA
5389,Quit,2023-08-21,Burntout
5390,Quit,2025-11-26,Insufficient Wages
5391,Quit,2025-02-26,Relocation
5392,Quit,2024-10-18,Relocation
5393,Quit,2024-12-18,Relocation
5394,Quit,2021-09-14,Lack of Growth
5395,Dismissed,2025-11-29,Performance
5396,Manager,2025-06-06,NA
5397,Server,2023-06-20,NA
5397,Bartender,2024-01-05,NA
5397,Dismissed,2025-02-28,Performance
5398,Quit,2022-06-16,Better Offer
5399,Quit,2024-08-19,Poor Management
5400,Quit,2024-11-16,Burntout
5401,Bartender,2021-09-16,NA
5401,Quit,2022-11-11,Relocation
5402,Quit,2021-05-08,Lack of Growth
5403,Shift Lead,2024-09-16,NA
5403,Manager,2025-04-20,NA
5404,Quit,2024-06-21,Better Offer
5405,Quit,2022-08-06,Lack of Growth
5406,Quit,2023-10-30,Poor Management
5407,Quit,2024-02-22,Poor Management
5408,Quit,2022-07-28,Insufficient Wages
5409,Quit,2022-01-27,Poor Management
5410,Quit,2021-05-31,Better Offer
5411,Quit,2022-09-08,Better Offer
5412,Quit,2024-02-10,Better Offer
5414,Quit,2021-12-26,Poor Management
5415,Quit,2025-11-18,Poor Management
5416,Quit,2024-09-19,Insufficient Wages
5417,Quit,2025-03-06,Lack of Growth
5418,Manager,2025-06-23,NA
5419,Quit,2024-12-15,Better Offer
5420,Bartender,2021-07-18,NA
5420,Quit,2022-07-09,Better Offer
5421,Quit,2025-04-11,Poor Management
5422,Dismissed,2021-10-31,Performance
5423,Quit,2024-11-05,Insufficient Wages
5424,Quit,2022-06-15,Poor Management
5425,Quit,2021-11-25,Poor Management
5426,Dismissed,2023-04-18,Attendance
5427,Dismissed,2025-12-29,Performance
5428,Quit,2025-07-29,Poor Management
5429,Quit,2023-11-07,Relocation
5430,Quit,2021-08-02,Burntout
5431,Quit,2021-07-27,Poor Management
5432,Quit,2024-03-05,Burntout
5433,Quit,2025-05-07,Burntout
5434,Quit,2024-01-24,Lack of Growth
5436,Dismissed,2024-09-23,Performance
5437,Dismissed,2023-07-21,Attendance
5438,Quit,2024-08-02,Burntout
5440,Dismissed,2025-06-25,Performance
5441,Quit,2024-05-28,Lack of Growth
5443,Quit,2024-08-03,Poor Management
5444,Quit,2021-09-24,Better Offer
5445,Quit,2025-10-21,Lack of Growth
5446,Quit,2025-03-07,Burntout
5447,Quit,2025-08-25,Lack of Growth
5448,Server,2024-05-18,NA
5448,Shift Lead,2024-11-20,NA
5448,Manager,2025-05-29,NA
5449,Quit,2025-12-03,Lack of Growth
5450,Dismissed,2025-01-12,Policy Violation
5451,Quit,2025-02-11,Insufficient Wages
5452,Quit,2021-08-07,Lack of Growth
5454,Manager,2024-12-25,NA
5455,Quit,2023-10-18,Poor Management
5456,Quit,2022-07-15,Burntout
5458,Bartender,2024-08-29,NA
5458,Quit,2025-08-06,Insufficient Wages
5459,Quit,2023-08-17,Better Offer
5460,Quit,2021-07-11,Insufficient Wages
5461,Quit,2023-06-04,Better Offer
5462,Quit,2024-04-21,Insufficient Wages
5463,Quit,2022-03-11,Insufficient Wages
5464,Bartender,2024-02-11,NA
5464,Quit,2025-01-18,Lack of Growth
5465,Quit,2022-01-29,Burntout
5467,Quit,2022-04-10,Insufficient Wages
5468,Bartender,2024-02-14,NA
5468,Quit,2024-11-29,Insufficient Wages
5469,Quit,2025-09-28,Lack of Growth
5470,Quit,2023-02-04,Better Offer
5471,Dismissed,2025-07-30,Performance
5472,Dismissed,2021-12-29,Policy Violation
5473,Quit,2023-09-25,Better Offer
5474,Quit,2024-05-27,Relocation
5475,Dismissed,2021-12-23,Performance
5476,Dismissed,2022-04-02,Performance
5477,Quit,2025-09-06,Better Offer
5478,Dismissed,2024-08-31,Performance
5479,Bartender,2021-06-04,NA
5479,Dismissed,2022-09-25,Performance
5480,Quit,2022-01-19,Better Offer
5481,Quit,2023-09-02,Better Offer
5482,Server,2022-03-03,NA
5482,Quit,2022-12-01,Better Offer
5483,Quit,2021-09-18,Poor Management
5484,Dismissed,2024-02-20,Performance
5485,Quit,2022-07-13,Burntout
5486,Quit,2023-07-10,Insufficient Wages
5487,Quit,2025-12-24,Better Offer
5488,Quit,2021-07-13,Poor Management
5490,Quit,2024-05-28,Lack of Growth
5491,Quit,2024-11-28,Lack of Growth
5493,Dismissed,2025-08-07,Performance
5494,Quit,2021-02-18,Burntout
5495,Dismissed,2024-10-06,Policy Violation
5496,Bartender,2023-08-24,NA
5496,Dismissed,2024-06-13,Attendance
5497,Quit,2022-01-22,Poor Management
5498,Quit,2023-04-06,Better Offer
5499,Quit,2023-06-10,Lack of Growth
5500,Quit,2021-08-26,Poor Management
5501,Quit,2022-08-18,Burntout
5502,Quit,2023-10-09,Insufficient Wages
5503,Quit,2021-04-07,Lack of Growth
5504,Quit,2025-10-18,Lack of Growth
5505,Dismissed,2022-10-18,Attendance
5506,Dismissed,2025-07-27,Performance
5507,Quit,2023-01-08,Better Offer
5508,Quit,2025-01-07,Poor Management
5509,Quit,2025-02-22,Poor Management
5510,Quit,2022-12-12,Lack of Growth
5511,Quit,2025-06-25,Better Offer
5512,Quit,2025-05-27,Poor Management
5513,Quit,2024-01-02,Poor Management
5514,Quit,2022-03-15,Poor Management
5515,Quit,2025-10-30,Lack of Growth
5516,Quit,2025-09-06,Burntout
5517,Dismissed,2024-03-18,Performance
5518,Quit,2024-09-13,Lack of Growth
5519,Quit,2024-02-19,Better Offer
5520,Quit,2022-11-21,Relocation
5521,Quit,2024-12-31,Poor Management
5522,Shift Lead,2024-10-20,NA
5522,Manager,2025-05-09,NA
5523,Quit,2024-08-11,Lack of Growth
5524,Quit,2022-04-02,Burntout
5525,Quit,2025-09-17,Lack of Growth
5526,Quit,2023-09-27,Burntout
5529,Quit,2022-01-09,Better Offer
5530,Quit,2022-04-09,Lack of Growth
5531,Quit,2024-01-27,Burntout
5532,Dismissed,2023-09-14,Attendance
5534,Server,2022-03-03,NA
5534,Bartender,2022-09-22,NA
5534,Shift Lead,2023-05-21,NA
5534,Quit,2024-02-28,Relocation
5535,Quit,2023-04-21,Better Offer
5536,Quit,2022-10-06,Better Offer
5537,Dismissed,2024-07-09,Performance
5538,Quit,2023-01-14,Insufficient Wages
5539,Quit,2025-02-14,Insufficient Wages
5540,Dismissed,2024-06-28,Attendance
5541,Bartender,2023-10-16,NA
5541,Quit,2025-03-18,Insufficient Wages
5543,Bartender,2023-12-24,NA
5543,Quit,2024-09-10,Burntout
5545,Quit,2025-11-04,Burntout
5546,Dismissed,2024-05-30,Policy Violation
5547,Quit,2021-12-18,Insufficient Wages
5548,Quit,2023-06-26,Burntout
